REG Nº,LOCAL (RELATÓRIO),ESTADO,CIDADE,LATITUDE CENTRAL,LONGITUDE CENTRAL,DATA,HORA,COR RELATÓRIO,COR TAXONOMIA,FORMA (RELATÓRIO),FORMA (TAXONOMIA),TAMANHO APARENTE,MOVIMENTO (RELATÓRIO),MOVIMENTO (TAXONOMIA),SENTIDO,VELOCIDADE,ALTITUDE,DISTÂNCIA,OBSERVADOR(ES),Gênero,NOTA,ANEXO,FONTE,Fonte Filmagem,Teria filmagem?
59,Município de Colares/Pa,Pará,Colares,00°55′S,48°16′W,2 dez. 77,às 19:22 horas,Amarela avermelhada,Amarela,Indefinida,Indefinida,2 cm,"Trajetória reta, no sentido Sudoeste/Nordeste",Reta,Sudoeste/Nordeste,Grande (acima de 800 Km/h),3.000m (estimada),15.000m (estimada),Equipe do A2/I COMAR,...,Visível até a linha do horizonte. Duração da passagem: 2 minutos.,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
60,Município de Colares/Pa,Pará,Colares,00°55′S,48°16′W,4 dez. 77,às 19:05 horas,Branca azulada,Branca,Indefinida,Indefinida,...,Sentido Sudoeste/Nordeste. Mudança brusca de direção,Curva,Sudoeste/Nordeste,Grande (acima de 800 Km/h),"12.000m (estimada), na vertical","12.000m (estimada), na vertical",Equipe do A2/I COMAR,...,Ao atingir o Centro da abóbada bruscamente parou e fez uma curva fechada à esquerda,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
61,Baia do Sol - Mosqueiro/Pa,PA,Mosqueiro,"-1º 9' 52.56""","-48º 27' 12.96""",07 dez. 77,22:40,Corpo luminoso,,,,Indefinida,Não especificado,Não Especificado/Indefinido,,"Trajetória reta, sobre a Ilha de Colares (rumo Noroeste)",Não especificado,"60 m (estimada), sobre as árvores",3.000 m,"Cap I Aer HOLIANDA, UBIRATAN PINON FRIAS, MILTON MENDONÇA",Masculino,O brilho muito intenso prejudicou melhor observação.,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
62,Baia do Sol - Mosqueiro/Pa,PA,Mosqueiro,"-1º 9' 52.56""","-48º 27' 12.96""",09 dez. 77,22:50,Corpo luminoso,,,,Indefinida,5 cm,,,Trajetória ligeiramente curva à direita. Sudoeste/Leste,Média (acima de 300 Km/h),2.000 m (estimada),6.000 m (estimada média); 3.000 m (quando mais próximo),"1S Q AT MT FLAVIO, Civil UBIRATAN PINON FRIAS",Masculino,O OVNI movimentava-se como se animado por impulsos; acentuou sua trajetória curva para a direita. Variação de intensidade luminosa. Não se ouvia ruído. Mudança de rota após tentativa de interceptação.,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
63,Rio Guajará - Ananindeua,PA,Ananindeua,-13.637,-483.721,09 dez. 77,23:50,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,15 cm,"Trajetória reta, acompanhando a calha do rio",Reta,Norte/Sul,Média (acima de 300 Km/h),50m (estimada),300m (estimada),Equipe do A2/I COAR,M/F,"Passagem muito rápida. Para alguns elementos da equipe, o CL parecia um balão (forma)",-,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
64,Baía do Sol - Mosqueiro,PA,Mosqueiro,-11.641,-484.534,10 dez. 77,00:45,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,10 cm,"Trajetória reta, no sentido Noroeste/Sudeste",Reta,Noroeste/Sudeste,Baixa (-200 Km/h),2.000m (estimada),5.000m (estimada),"1S Q AT MT FLAVIO, Civis Ubiratan Pinon Frias, F.M. Freitas Costa, Célia Montenegro",M/F,"O OVNI dirigiu-se ao solo, emitindo focos azulados. Não foi observado qualquer ruído.",Cópia de uma fotografia,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
65,Rio Guajará - Ananindeua,PA,Ananindeua,-13.637,-483.721,10 dez. 77,00:50,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,25 cm,Irregular (variando em zig-zag),Irregular,Sudeste/Noroeste,Variável (impulsos de aceleração),50m (estimada),2.000m (estimada),Equipe do A2/I COAR,M/F,"O OVNI efetuou várias evoluções, mudando constantemente de proa. Ausência total de ruídos ou deslocamento de ar. Cópia de 09 fotos.",Cópia de 09 fotos,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
66,Rio Guajará - Ananindeua,PA,Ananindeua,-13.637,-483.721,10 dez. 77,01:50,Avermelhada,Avermelhada,Indefinida,Indefinida,30 cm,"Irregular, sentido Sul/Norte",Irregular,Sul/Norte,Variável. Média - 200 Km/h,100m (estimada),500m (estimada),Equipe do A2/I COAR,M/F,"O OVNI efetuou várias evoluções, com velocidade variável. Cópia de 04 fotos.",Cópia de 04 fotos,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
67,Baía do Sol - Mosqueiro,PA,Mosqueiro,-11.641,-484.534,10 dez. 77,20:30/20:35,Indefinida,Indefinida,Indefinida,Indefinida,Indefinido,"Estacionário, setor Norte",Estacionário,Norte,...,300m (estimada),3.000m (estimada),"1S Q AT MT FLAVIO, Civis A.N. Dias, F.M. Costa Dias, F.M. Freitas Costa",M/F,Curtos períodos de visibilidade (explosões). Possível troca de posição. Cópia de uma fotografia.,Cópia de uma fotografia,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
68,Baía do Sol - Mosqueiro,PA,Mosqueiro,-11.641,-484.534,11 dez. 77,03:25,Amarela clara (pálida),Amarela clara,Indefinida,Indefinida,10 cm,"Trajetória reta, sentido Sudoeste/Noroeste",Reta,Sudoeste/Noroeste,Baixa (-200 Km/h),3.000m (estimada),1.500m (estimada),"1S Q AT MT FLAVIO, Civis A.N. Dias, F.M. Costa Dias, F.M. Freitas Costa",M/F,O CL maior era acompanhado por um menor. Cópia de 11 fotos.,Cópia de 11 fotos,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
69,Baía do Sol - Mosqueiro,PA,Mosqueiro,-11.641,-484.534,13 dez. 77,20:45,Amarela clara,Amarela clara,Indefinida,Indefinida,Indefinido,"Trajetória reta, sentido Noroeste/Sudeste",Reta,Noroeste/Sudeste,Média,12.000m (estimada),3.000m (estimada),"1S Q AT MT FLAVIO, Civis Ubiratan Pinon Frias, F.M. Freitas Costa, Célia Montenegro",M/F,"O CL perdeu altura e ""apagou"" em frente à Ponta do Machadinho. Brilho intenso. Cópia de uma fotografia.",Cópia de uma fotografia,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
70,Baía do Sol - Mosqueiro,PA,Mosqueiro,-11.641,-484.534,13 dez. 77,21:05,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,30 cm,Aparentemente estacionário,Estacionário,...,...,1.000m (estimada),500m (estimada),"1S Q AT MT FLAVIO, Civis Ubiratan Pinon Frias, F.M. Freitas Costa, Célia Montenegro",M/F,Não se ouviu ruído. Cópia de três fotos.,Cópia de três fotos,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
71,Baía do Sol - Mosqueiro,PA,Mosqueiro,-11.641,-484.534,13 dez. 77,23:55,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,5 cm,"Trajetória reta, sentido Noroeste/Sudeste",Reta,Noroeste/Sudeste,Média (acima de 300 Km/h),2.000m (estimada),4.000m (estimada),"1S Q AT MT FLAVIO, Civis Ubiratan Pinon Frias, F.M. Freitas Costa",M/F,Passagem sobre a Ilha de Colares. Cópia de uma fotografia.,Cópia de uma fotografia,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
72,Baía do Sol - Mosqueiro,PA,Mosqueiro,-11.641,-484.534,14 dez. 77,00:45,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,5 cm,"Trajetória reta, sentido Noroeste/Sudeste",Reta,Noroeste/Sudeste,Média (acima de 300,,,,,,,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
75,Rodovia PA-47 - Fazenda JEJU/PIÇARREIRA,Pará,São Domingos do Capim,-,-,16 dez. 77,23:50,"Amarela clara, brilhante",Amarela,Indefinida,Indefinida,2 a 3 cm (à distância como uma estrela),"Trajetória reta, descendo. Sentido Sudeste/Noroeste","Reta, descendente",Sudeste/Noroeste,Média (acima de 300Km/h),600m,"4.000m (estimada), Mais próxima 300m",Equipe do A2/I COMAR,Masculino e Feminino (misto),"O OVNI, à distância, parecia uma estrela muito grande e brilhante, ao nivelar (300m) ficou encoberto pelo mato alto. A equipe deslocou-se a pé para melhor observar.",Cópia de 06 (seis) fotografias,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
76,Rod. PA-47 - Faz. JEJU/PIÇARREIRA - Mun. de São Domingos do Capim/Pa,Pará,São Domingos do Capim,-,-,17 dez. 77,00:30,"Amarela avermelhada, com reflexos azulados",Amarela avermelhada,Circular (afunilada),Circular,50 cm,"Girando (pião) e ondulante, no sentido Noroeste/Sudeste","Giratório, ondulante",Noroeste/Sudeste,"Variável, subida vagarosa. Acelerou aumentando na subida.","400m (estimada), baixou para 70m","100m (estimada), quando o OVNI estava mais baixo",Equipe do A2/I COMAR,Masculino e Feminino (misto),"O OVNI mudava de cor, passando do branco azulado muito intenso para o vermelho rubro, variando sua luminosidade e velocidade. Os elementos da Equipe não observaram sua ascensão. Desapareceu por interposição de árvores.",Cópia de um croquis e 26 (vinte e seis) fotografias,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
77,Rod. PA-47 - Faz. JEJU - Mun. de São Domingos do Capim/Pa,Pará,São Domingos do Capim,-,-,20 dez. 77,23:55,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,-,"Trajetória ligeiramente curva, Sentido Noroeste/Sudeste",Curva leve,Noroeste/Sudeste,Baixa (200 Km/h),"2.000m (estimada), baixando para 1.500m",4.000m (estimada),Equipe do A2/I COMAR,Masculino e Feminino (misto),-,Um croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
78,Rod. 47-PA - Colônia 3 de Outubro - Mun. São Domingos do Capim/Pa,Pará,São Domingos do Capim,-,-,20 dez. 77,23:58,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,1 cm,"Trajetória curva, no sentido SE/SW",Curva,SE/SW,Baixa (-200Km/h),2.000m (estimada),1.500m (estimada),Equipe do A2/I COMAR,Masculino e Feminino (misto),O OVNI cruzou o ponto de observação em curva ascendente à distância de 4.500m.,Um croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
79,Baía do Sol - Mosqueiro/Pa,Pará,Mosqueiro,-,-,21 dez. 77,23:30,"Amarela fosca, lampejos azulados bastante esparsos",Amarela,Indefinida,Indefinida,5 cm,"Trajetória reta, ligeiras paradas (serpenteando). Sentido Leste/Oeste.","Reta, com paradas",Leste/Oeste,Média (-300Km/h),2.000m (estimada),1.800m (estimada),"1S Q AT MT FLAVIO e os Civis UBIRATAN PINON FRIAS, Sra F.M. FREITAS COSTA e Srta CELIA MONTENEGRO",Masculino e Feminino (misto),-,-,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
80,Baía do Sol - Mosqueiro/Pa,PA,Mosqueiro,-1.3088 S,-48.5135 W,22 dez. 77,01:30,Amarela avermelhada,Amarelo,Indefinida,Indefinida,15 cm,Sentido Leste/Sudoeste,Curva,Sudeste,Média (500km/h),1.100m,1.000m,"1S Q AT MT FLAVIO e os Civis Ubiratan Pinon Frias, Sra F.M. Freitas Costa e Sra Célia Montenegro",,"O OVNI efetuou curvas acentuadas à esquerda (SE), aumentando sua velocidade em subida. Desapareceu rapidamente.",Cópia de 04 (quatro) fotografias,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
81,Baía do Sol - Mosqueiro/Pa,PA,Mosqueiro,-1.3088 S,-48.5135 W,22 dez. 77,03:20,Amarela avermelhada,Amarelo,Indefinida,Indefinida,5 cm,Trajetória reta,Reta,Sudeste/Noroeste,Média (-500 Km/h),1.500m,1.000m,"1S Q AT MT FLAVIO e os Civis Ubiratan Pinon Frias, Sra F.M. Freitas Costa e Sra Célia Montenegro",,O OVNI passou a emitir lampejos azulados quando bastante afastado (8.000m) do ponto de observação. Movimento Acelerado contínuo.,,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
82,Baía do Sol - Mosqueiro/Pa,PA,Mosqueiro,-1.3088 S,-48.5135 W,22 dez. 77,05:20,Amarela avermelhada,Amarelo,Indefinida,Indefinida,3 cm,Trajetória reta,Reta,Sudeste/Norte,Média (-500 Km/h),1.000m,2.000m,"1S Q AT MT FLAVIO e os Civis Ubiratan Pinon Frias, Sra F.M. Freitas Costa e Sra Célia Montenegro",,Não se observou deslocamento de ar ou ruído.,,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
83,Município de Colares/Pa,PA,Colares,-1.3088 S,-48.5135 W,23 jan. 78,23:30,Avermelhada escura,Amarelo,Arredondada,Chapéu de abas curtas,"2,00m",Estacionário,Deslocou-se ganhando,Noroeste,Supersônica (ao decolar-se),No solo,400m,Sr Manoel João de Oliveira Filho,,"O relator observou o OVNI pousado por um período de 10 minutos, tentou chamar seus companheiros, ao voltar o objeto já se deslocava.",,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
84,Rio Guajará (Olaria Keuffer) - Benfica/Pa,PA,Benfica (Belém),-1.3088 S,-48.5135 W,23 jan. 78,23:53,Amarela avermelhada,Amarelo,Indefinida,Indefinida,10cm,"Inicialmente reta, depois curva",Retornou,Norte/Sul,Média (~500km/h),300m,1.000m,Equipe do A2/I COMAR,,"Efetuou curva à esquerda, ziguezagueando. Duração da passagem 60 segundos.",,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
85,Rio Guajará (Olaria Keuffer) - Benfica,PA,Benfica (Belém),-1.3088 S,-48.5135 W,24 jan. 78,00:09,Amarela avermelhada,Amarelo,Indefinida,Indefinida,5 cm,Trajetória reta,Média,Noroeste/Sul,Média (~500km/h),300m,1.000m,Equipe do A2/I COMAR,,Ausência de ruído. Passagem rápida (m/l 1 minuto).,,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
86,Rio Guajará - Benfica (Pa),PA,Benfica (Belém),-1.3088 S,-48.5135 W,24 jan. 78,01:42,Amarela avermelhada,Amarelo,Indefinida,Indefinida,15 a 20cm,Trajetória curva,Média,Noroeste/Sudeste,Média (~500km/h),200m,3.000m,Equipe do A2/I COMAR,,Desaparecimento por interposição de árvores.,,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
87,Município de COLARES/Pa,PA,Colares,...,...,27 jan. 78,às 03:00 horas,Luminosidade azulada. Objeto de cor escura,Azulada,"Circular, provida de pequenas asas e dois tubos na parte frontal.",Circular,"2,00m de diâmetro","Trajetória reta (vôo picado, freando), procedente de NE",Reta,NE,Variável,"Baixa, pouco acima da praia",300m (estimada),Sr RAIMUNDO COSTA LEITE,Masculino,...,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",Relatórios Confidenciais de Observações de OVNIs: Análises e Registros do 1º Comando Aéreo Regional (1977-1978),Sim
88,"Rio Laranjeira (afluente do Rio Guajará), CIMATRO-Belém/Pa",PA,Belém,...,...,27 jan. 78,às 23:32 horas,"Amarela avermelhada, fosca",Amarela,Indefinida,Indefinida,10cm,"Trajetória ligeiramente curva, Sudeste/Sudoeste",Curva,SE/SO,Baixa (-200Km/h),300m (estimada),"1.000m (estimada), quando mais próximo",Equipe do A2/I COMAR,...,...,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",Relatórios Confidenciais de Observações de OVNIs: Análises e Registros do 1º Comando Aéreo Regional (1977-1978),Sim
89,Rio Laranjeira - CIMATRO-VOLKSWAGEN - Belém/Pa,PA,Belém,...,...,28 jan. 78,às 01:08 horas,Amarela avermelhada,Amarela,Indefinida,Indefinida,10cm,"Trajetória em suave curva à esquerda, sentido Norte/Sul",Curva,N/S,Média (~300 Km/h),300m (estimada),1.500m (estimada),Equipe do A2/I COMAR,...,...,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
90,Município de COLARES/Pa - Praia do Cajueiro,PA,Colares,...,...,05 fev. 78,às 05:30 horas,"Avermelhada, na parte central, área retangular, mais clara",Avermelhada,Rede invertida (semi-circular ou semi-oval),Rede,"3,00m","Em ascenção lenta, trajetória reta",Reta,Norte,Baixa,30m (estimada),400m (estimada),Sr MANOEL JOÃO DE OLIVEIRA,Masculino,...,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
91,Rodovia PA-17 - (Belém-Mosqueiro/Pa),PA,Belém,...,...,13 fev. 78,às 23:40 horas,Amarela avermelhada,Amarela,Indefinida,Indefinida,15cm,"Trajetória reta, sentido Noroeste/Sudeste (zig-zag)",Zig-zag,NO/SE,Baixa (-200 Km/h),500m (estimada),1.000m (estimada),"TEN VASCONCELOS, 1S Q AT MT FLAVIO e os Civis V. MELLO (Piloto) e A. MELLO (Engº Civil)",Masculino,...,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
92,Município de COLARES/Pa,PA,Colares,...,...,18 fev. 78,às 20:25 horas,"Amarela avermelhada, emitindo lampejos azulados",Amarela,Indefinida,Indefinida,5cm,"Zig-zag, no sentido Oeste/Leste",Zig-zag,O/L,Supersônica,3.000m (estimada),3.000m (estimada),1S Q AT MT FLAVIO e Sra F.M. FREITAS COSTA,Feminino,...,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",Relatórios Confidenciais de Observações de OVNIs: Análises e Registros do 1º Comando Aéreo Regional (1977-1978),Sim
93,Município de COLARES/Pa,PA,Colares,...,...,22 fev. 78,às 19:15 horas,Amarela avermelhada,Amarela,Indefinida,Indefinida,3 cm,"Zig-zag, acelerando constantemente. Sentido Noroeste/SE",Zig-zag,NO/SE,Média (~500 Km/h),2.000m (estimada),"2.000m (estimada), na vertical",1S Q AT MT FLAVIO e Sra F.M. FREITAS COSTA,Feminino,...,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",Relatórios Confidenciais de Observações de OVNIs: Análises e Registros do 1º Comando Aéreo Regional (1977-1978),Sim
94,Município de COLARES/Pa,PA,Colares,...,...,26 fev. 78,às 00:30 horas,Amarela avermelhada,Amarela,Indefinida,Indefinida,5 cm,"Trajetória reta, no sentido Nordeste/Sudoeste",Reta,NE/SO,Média (~500 Km/h),1.500m (estimada),500m (estimada),Padre ALFREDO DE LA Ó,Masculino,...,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",Relatórios Confidenciais de Observações de OVNIs: Análises e Registros do 1º Comando Aéreo Regional (1977-1978),Sim
95,Município de COLARES/Pa,PA,Colares,...,...,26 fev. 78,às 18:40 horas,"Amarela avermelhada, lampejos azulados (poucos)",Amarela,Indefinida,Indefinida,3 cm,Trajetória em suave curva à esquerda. Sentido Oeste/Leste,Curva,O/L,Média (~500 Km/h),3.000m (estimada),"3.000m (estimada), na vertical",1S Q AT MT FLAVIO e Sra F.M. FREITAS COSTA,Feminino,...,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",Relatórios Confidenciais de Observações de OVNIs: Análises e Registros do 1º Comando Aéreo Regional (1977-1978),Sim
96,Município de COLARES/Pa,PA,Colares,...,...,26 fev. 78,às 19:25 horas,"Amarela, brilho intenso",Amarela,Circular,Circular,3 cm,"Trajetória reta, no sentido Noroeste/Sul",Reta,NO/S,Baixa (-200 Km/h),1.500m (estimada),3.000m (estimada),1S Q AT MT FLAVIO e Sra F.M. FREITAS COSTA,Feminino,...,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",Relatórios Confidenciais de Observações de OVNIs: Análises e Registros do 1º Comando Aéreo Regional (1977-1978),Sim
97,Município de Colares/Pa,PA,Colares,-1.3088 S,-48.5135 W,26 fev. 78,19:35,Amarela avermelhada,Amarelo,Indefinida,Indefinida,10 cm,Trajetória reta,Variável,Oeste/Sudeste,Variável,1.000m,1.000m,"1S Q AT MT FLAVIO e os Civis Ubiratan Pinon Frias, Sra P.M. Freitas Costa e Sra Celia Montenegro",,"Avistamento inicial no horizonte (30º). Desapareceu ao atingir 2/3 da abóbada, em curva ascendente.",,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",Relatórios Confidenciais de Observações de OVNIs: Análises e Registros do 1º Comando Aéreo Regional (1977-1978),Sim
98,Município de Colares/Pa,PA,Colares,-1.3088 S,-48.5135 W,28 fev. 78,20:05,Amarela clara,Amarelo,Indefinida,Indefinida,30 cm,Trajetória reta,Variável,Sudeste/Oeste,Variável,100m,1.000m,1S Q AT MT FLAVIO e Sra P.M. Freitas Costa,,"Ao atingir o Canal do Navio (8.000m) de distância, o OVNI acelerou subindo e desapareceu a 300m de altitude.",,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
99,Município de Colares/Pa,PA,Colares,-1.3088 S,-48.5135 W,02 mar. 78,01:30,Amarela avermelhada,Amarelo,Indefinida,Indefinida,3 cm,Trajetória reta,Média,Noroeste/Sudeste,Média (-500 Km/h),4.000m,5.000m,1S Q AT MT FLAVIO,,Desapareceu por interposição de árvores (Ponta do Bacuri).,,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",Relatórios Confidenciais de Observações de OVNIs: Análises e Registros do 1º Comando Aéreo Regional (1977-1978),Sim
100,Município de Colares/Pa,PA,Colares,-1.3088 S,-48.5135 W,03 mar. 78,05:25,"Amarela clara, fosca",Amarelo,Indefinida,Indefinida,10 cm,Trajetória reta,Baixa (-200 Km/h),Sudeste/Oeste,Baixa (-200 Km/h),200m,2.000m,1S Q AT MT FLAVIO,,"O OVNI afastou-se à baixa velocidade, desaparecendo às proximidades do Canal do Navio.",,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",Relatórios Confidenciais de Observações de OVNIs: Análises e Registros do 1º Comando Aéreo Regional (1977-1978),Sim
