REG Nº,LOCAL (RELATÓRIO),ESTADO,CIDADE,LATITUDE CENTRAL,LONGITUDE CENTRAL,DATA,HORA,COR RELATÓRIO,COR TAXONOMIA,FORMA (RELATÓRIO),FORMA (TAXONOMIA),TAMANHO APARENTE,MOVIMENTO (RELATÓRIO),MOVIMENTO (TAXONOMIA),SENTIDO,VELOCIDADE,ALTITUDE,DISTÂNCIA,OBSERVADOR(ES),Gênero,NOTA,ANEXO,FONTE,Fonte Filmagem,Teria filmagem?
11,Santo Antônio do Ubintuba - Município de Vigia/PA,PA,Vigia,"0º 51' 25.92""","-48º 8' 17.88""",22 out. 77,20:15,"Amarela avermelhada, fosca",Amarela,Indefinida,Indefinida,"2,5 cm","Trajetória ligeiramente curva, sentido Norte/Sul",Trajetória Curva,Norte/Sul,Grande velocidade (supersônica),1.200m (estimada),5.000m (estimada),Equipe do A2/I COMAR,Masculino,Ausência de ruído ou deslocamento de ar (onda sônica),Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
12,Baía do Sol - Mosqueiro/PA,PA,Mosqueiro,"-1º 9' 52.56""","-48º 27' 12.96""",22 out. 77,22:40,"Azul, brilho muito intenso (solda elétrica)",Azul,Indefinida,Indefinida,...,"Trajetória reta, no sentido Norte/Sul",Trajetória Reta,Norte/Sul,Média (300/500 Km/h),60m (estimada),3.000m (estimada),"Cap 1 Aer Hollanda, Civis Ubiratan Pinon Frias e Hilton Mendonça",Masculino,Ausência de ruído ou deslocamento de ar,Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
13,Baía do Sol - Mosqueiro/PA,PA,Mosqueiro,"-1º 9' 52.56""","-48º 27' 12.96""",26 out. 77,18:35,Amarela avermelhada,Amarela,Indefinida,Indefinida,...,"Trajetória irregular (zig-zag), sentido Norte/Sul",Zig-Zag,Norte/Sul,Média (-500Km/h),500m (estimada),3.000m (estimada),Sr. Ubiratan Pinon Frias e Srta. Celia Montenegro,Misto,Ausência total de ruído. O CI ao chegar sobre o Furo do Jejutauá efetuou correção brusca para Sudeste.,Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
14,Baía do Marajó - Baixo da Coroa Vermelha/PA,PA,Baía do Marajó,"-1º 0' 0.00""","-49º 30' 0.00""",01 nov. 77,01:00,Avermelhada (sic),Avermelhada,Indefinida,Indefinida,15 cm,"Circular (15 voltas) em torno de uma ""luz"" azul.",Circular,Não especificado,Variável (menor que de um avião),Baixa,500m (estimada),Sr. Elias de Oliveira,Masculino,"Sobre uma luz azul (altura de 1,50m sobre a água) o OVNI efetuou várias evoluções, pousando próximo, não sendo mais visto. Já próximo do nascer do dia a ""luz"" ainda era visível.",Cópia de 01 (um) croqui,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
15,Baía do Marajó - Canal do Quiririm/PA,PA,Baía do Marajó,"-1º 0' 0.00""","-49º 30' 0.00""",01 nov. 77,01:00,Farol: Azul violeta - CL: Amarela avermelhada,Avermelhada,Indefinida,Indefinida,...,Irregular,Irregular/Variável,Não especificado,Média,20m (estimada),2.000m (estimada),Sr. Orlando Fontenelle Trindade,Masculino,"O OVNI circulou o ""farol azul"" e parou (sic) junto à luz. Procedia do Noroeste.",Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
16,Município de Colares/PA,PA,Colares,"0º 56' 11.04""","-48º 16' 50.88""",01 nov. 77,19:00,"Amarela (âmbar ou quartzo-iodo), forte intensidade",Amarela,Indefinida,Indefinida,6m (à distância de 1.500m),"Trajetória curva à direita, descendente e ascendente",Trajetória Curva,Não especificado,800 Km/h (picada). Supersônica em subida.,2.000m (estimada). Passagem na vertical.,2.000m (estimada). Passagem na vertical.,Equipe do A2/I COMAR,Misto,"Além da luminosidade descrita, o OVNI apresentava um pequeno semi-círculo avermelhado na parte superior. Sentido de deslocamento Sudeste/Noroeste. Ausência de ruído ou deslocamento de ar.",Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
17,Rio Guajará (Olaria KEUFFER) - Benfica/PA,PA,Benfica (Belém),"-1º 17' 20.04""","-48º 22' 14.88""",02 nov. 77,21:30,Avermelhada (superior) e azul esverdeada (inferior),Avermelhada,"Circular, cúpula superior transparente",Circular,3m de diâmetro x 2m de altura,Variado,Irregular/Variável,Sudeste/Noroeste,Baixa (~20Km/h),20m (estimada),70m (estimada),Sr. Luiz Pereira Rodrigues,Masculino,"O OVNI surgiu como se fosse o nascer do sol (luminosidade muito intensa), deslocando-se vagarosamente, parando próximo ao relator. Da parte inferior abriu-se uma ""escotilha"" de onde saiu um ""humanoide"" (1,50m de altura), roupa colante, examinou o local (rede) onde momentos antes o relator estivera.",Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
18,Município de Colares/PA,PA,Colares,"0º 56' 11.04""","-48º 16' 50.88""",04 nov. 77,23:00,Amarela avermelhada,Amarela,Indefinida,Indefinida,3m,"Trajetória reta, no sentido Sudeste/Noroeste",Trajetória Reta,Oeste/Leste,Variável,4.000m (estimada),15.000m (estimada),Equipe do A2/I COMAR,Misto,...,Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
19,Município de Colares/PA,PA,Colares,"0º 56' 11.04""","-48º 16' 50.88""",05 nov. 77,01:00,Amarela avermelhada,Amarela,Indefinida,Indefinida,3cm,"Trajetória reta, efetuando curva após para a esquerda, Sentido de deslocamento Oeste/Leste",Trajetória Curva,Não especificado,Baixa (menos de 300Km/h),2.000m (estimada),15.000m (estimada),Equipe do A2/I COMAR,Misto,Nítida impressão de pouso n'água.,Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
20,Município de Colares/PA,PA,Colares,"0º 56' 11.04""","-48º 16' 50.88""",05 nov. 77,02:15,"Azulada, intensidade luminosa variável",Azul,Circular,Circular,...,Trajetória reta sobre a água,Trajetória Reta,Sul,Média (acima de 300 Km/h),...,8.000m (estimada),Equipe do A2/I COMAR,Misto,"Deslocamento no sentido Sudoeste/Norte, não ganhou altura, foi observado uma luminosidade refletida n'água até as 03:25 horas.",Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
